iter	Passed	Remaining
877	35209	4892
878	35247	4852
879	35284	4811
880	35324	4771
881	35366	4731
882	35409	4691
883	35457	4652
884	35494	4612
885	35530	4571
886	35567	4531
887	35605	4490
888	35647	4450
889	35691	4411
890	35727	4370
891	35764	4330
892	35803	4289
893	35840	4249
894	35880	4209
895	35918	4169
896	35956	4128
897	36001	4089
898	36043	4049
899	36090	4010
900	36133	3970
901	36187	3931
902	36229	3891
903	36273	3852
904	36315	3812
905	36355	3771
906	36398	3732
907	36441	3692
908	36485	3652
909	36527	3612
910	36566	3572
911	36611	3532
912	36654	3492
913	36698	3453
914	36737	3412
915	36777	3372
916	36817	3332
917	36857	3292
918	36900	3252
919	36940	3212
920	36986	3172
921	37028	3132
922	37072	3092
923	37121	3053
924	37165	3013
925	37210	2973
926	37251	2933
927	37291	2893
928	37334	2853
929	37376	2813
930	37424	2773
931	37463	2733
932	37506	2693
933	37548	2653
934	37595	2613
935	37641	2573
936	37691	2534
937	37733	2494
938	37768	2453
939	37807	2413
940	37845	2372
941	37883	2332
942	37922	2292
943	37962	2251
944	38003	2211
945	38042	2171
946	38089	2131
947	38135	2091
948	38180	2051
949	38224	2011
950	38269	1971
951	38318	1932
952	38365	1892
953	38408	1851
954	38453	1811
955	38500	1771
956	38536	1731
957	38573	1691
958	38613	1650
959	38651	1610
960	38690	1570
961	38724	1529
962	38760	1489
963	38795	1448
964	38829	1408
965	38864	1367
966	38896	1327
967	38931	1286
968	38968	1246
969	39009	1206
970	39044	1166
971	39080	1125
972	39123	1085
973	39160	1045
974	39198	1005
975	39239	964
976	39276	924
977	39310	884
978	39341	843
979	39378	803
980	39413	763
981	39446	723
982	39482	682
983	39515	642
984	39555	602
985	39597	562
986	39637	522
987	39680	481
988	39718	441
989	39755	401
990	39793	361
991	39833	321
992	39871	281
993	39908	240
994	39945	200
995	39984	160
996	40025	120
997	40064	80
998	40107	40
999	40145	0
